station_id,station_name,network,latitude,longitude,selected_for_project,bufr_code,canonical_variable,observation_count,unique_timestamp_count,first_time,last_time,median_interval_seconds
MH::dpcn-marche::227342b8cd43,Sant Angelo in Pontano,dpcn-marche,43.104,13.399,False,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::227342b8cd43,Sant Angelo in Pontano,dpcn-marche,43.104,13.399,False,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::26b2974cd07d,Ripatransone,dpcn-marche,42.99213,13.785,True,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::26b2974cd07d,Ripatransone,dpcn-marche,42.99213,13.785,True,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::26b2974cd07d,Ripatransone,dpcn-marche,42.99213,13.785,True,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::277de999b230,Colleponi,dpcn-marche,43.43372,12.90434,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::277de999b230,Colleponi,dpcn-marche,43.43372,12.90434,False,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::277de999b230,Colleponi,dpcn-marche,43.43372,12.90434,False,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::277de999b230,Colleponi,dpcn-marche,43.43372,12.90434,False,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::27ce6c7a74d7,Loro Piceno,dpcn-marche,43.16,13.4036,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::27ce6c7a74d7,Loro Piceno,dpcn-marche,43.16,13.4036,False,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::27ce6c7a74d7,Loro Piceno,dpcn-marche,43.16,13.4036,False,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::28f62c68c686,Passatempo,dpcn-marche,43.44728,13.4492,True,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::28f62c68c686,Passatempo,dpcn-marche,43.44728,13.4492,True,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::28f62c68c686,Passatempo,dpcn-marche,43.44728,13.4492,True,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::28f62c68c686,Passatempo,dpcn-marche,43.44728,13.4492,True,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::296e8d02b50d,Ponte Tavola,dpcn-marche,42.90445,13.13805,False,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::29bc6beb8023,Metauro,dpcn-marche,43.76256,12.96747,True,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::29bc6beb8023,Metauro,dpcn-marche,43.76256,12.96747,True,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::29bc6beb8023,Metauro,dpcn-marche,43.76256,12.96747,True,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::29bc6beb8023,Metauro,dpcn-marche,43.76256,12.96747,True,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::2d527df80968,Umito,dpcn-marche,42.73742,13.40658,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::2d527df80968,Umito,dpcn-marche,42.73742,13.40658,False,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::2ddc53ead8f4,Ete Morto,dpcn-marche,43.2364,13.6719,True,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::2f72e5740cf0,Monte Prata,dpcn-marche,42.8736,13.205,False,B10004,pressure,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::2f72e5740cf0,Monte Prata,dpcn-marche,42.8736,13.205,False,B11001,wind_direction,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::2f72e5740cf0,Monte Prata,dpcn-marche,42.8736,13.205,False,B11002,wind_speed,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
