station_id,station_name,network,latitude,longitude,elevation_m,selected_for_project,variable_count,variables
MH::dpcn-marche::d93d81e2a6ee,Filottrano,dpcn-marche,43.4358,13.3511,254.0,False,1,B13011
MH::dpcn-marche::d9512702c69f,Fermo,dpcn-marche,43.1575,13.7144,140.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::dead75631099,San. Ruffino,dpcn-marche,43.01021,13.40041,353.0,False,1,B13215
MH::dpcn-marche::dee5d1f10c12,Pergola,dpcn-marche,43.56863,12.84411,251.0,False,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::e16eac6d6548,Montemonaco,dpcn-marche,42.8997,13.3253,972.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::e5a18b29a68f,Nevola,dpcn-marche,43.63852,13.0769,71.0,True,1,B13215
MH::dpcn-marche::e64a7c599833,Monte Nerone,dpcn-marche,43.55328,12.52087,0.0,False,5,B11001|B11002|B12101|B13003|B13011
MH::dpcn-marche::e67e8fcdd2d4,Mozzano,dpcn-marche,42.84965,13.53753,-1.0,False,4,B11001|B12101|B13003|B13011
MH::dpcn-marche::e7aee3e4b03f,Force,dpcn-marche,42.9628,13.4897,617.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::e86831b8d551,Pescara del Tronto,dpcn-marche,42.74063,13.2648,-1.0,False,1,B13215
MH::dpcn-marche::eb14d86977b4,Fiastrone,dpcn-marche,43.1456,13.2614,282.0,False,1,B13215
MH::dpcn-marche::eb8cf656b14b,Aspio,dpcn-marche,43.51722,13.53285,24.0,True,1,B13215
MH::dpcn-marche::ec4a6468c2cd,Pianello di Cagli,dpcn-marche,43.51215,12.55335,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::ec60f1eff25e,Porto Recanati,dpcn-marche,43.41521,13.65162,14.0,True,1,B13215
MH::dpcn-marche::edd371bdb3a6,Urbino,dpcn-marche,43.7233,12.6369,384.0,False,6,B10004|B11001|B11002|B12101|B13003|B13011
MH::dpcn-marche::ee28b7fb66ee,Ancona Regione,dpcn-marche,43.6103,13.5083,47.0,True,6,B10004|B11001|B11002|B12101|B13003|B13011
MH::dpcn-marche::eff8fa3d8ef8,Fossombrone,dpcn-marche,43.68252,12.7984,200.0,False,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::f186bdcc9baf,Cesano,dpcn-marche,43.6649,13.01444,89.0,True,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::f20c7d063dd5,Osimo Monteragolo,dpcn-marche,43.49232,13.50175,-1.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::f37c8d0fa724,Esanatoglia2,dpcn-marche,43.25313,12.94332,-1.0,False,2,B12101|B13011
MH::dpcn-marche::f496893853a2,Pioraco,dpcn-marche,43.17916,12.98463,482.0,False,1,B13215
MH::dpcn-marche::f5211c92c619,Casteldelci,dpcn-marche,43.79056,12.13194,838.0,False,2,B12101|B13011
MH::dpcn-marche::f65593f235ef,Sassotetto,dpcn-marche,43.0067,13.2417,1344.0,False,7,B10004|B11001|B11002|B12101|B13003|B13011|B13013
MH::dpcn-marche::f946a97dfcd5,Fiumesino,dpcn-marche,43.62947,13.37233,-1.0,True,2,B13011|B13215
MH::dpcn-marche::f96f9334e2fe,Biscubio,dpcn-marche,43.56204,12.4304,488.0,False,3,B12101|B13011|B13215
MH::dpcn-marche::fdb08f19e790,Aspio 2,dpcn-marche,43.49395,13.56658,11.0,True,1,B13215
MH::dpcn-puglia::07aadb2f2aac,Adelfia,dpcn-puglia,41.00083,16.86717,156.0,True,1,B13011
MH::dpcn-puglia::274e683c4d9e,Conversano,dpcn-puglia,40.9205,17.12583,201.0,True,1,B13011
MH::dpcn-puglia::317ca2ca67bf,Casamassima,dpcn-puglia,40.9535,16.9175,222.0,True,1,B13011
MH::dpcn-puglia::35a15e32d15b,Acquaviva delle Fonti,dpcn-puglia,40.89705,16.84247,-1.0,False,1,B13011
MH::dpcn-puglia::4421f84955e5,Mercadante,dpcn-puglia,40.86083,16.63483,396.0,False,1,B13011
MH::dpcn-puglia::7299a454bc69,Bovino,dpcn-puglia,41.11067,15.33117,591.0,False,1,B13011
