baseline,scope,lead_hour,region,variable,v9_2_rmse,baseline_rmse,rmse_skill,rmse_skill_percent
dense_era5t_persistence,per_lead,4,full,u10,1.357545409893654,1.6121995255474222,0.15795446631663068,15.795446631663069
dense_era5t_persistence,per_lead,4,full,v10,1.3658570873230862,1.4516748320499515,0.05911636878465376,5.9116368784653766
dense_era5t_persistence,per_lead,4,full,t2m,2.1992793424049037,4.153192623488326,0.47046054883972666,47.046054883972666
dense_era5t_persistence,per_lead,4,full,tp,0.12134393955920846,0.15925449846472814,0.23805016040985594,23.805016040985592
dense_era5t_persistence,per_lead,4,land,msl,1.2032829109823628,0.9964961258414856,-0.2075138876894853,-20.75138876894853
dense_era5t_persistence,per_lead,4,land,u10,1.1697057225157066,1.2442429204271113,0.059905663667202735,5.990566366720273
dense_era5t_persistence,per_lead,4,land,v10,1.129431558013478,1.1370297102327667,0.006682457064145941,0.6682457064145941
dense_era5t_persistence,per_lead,4,land,t2m,2.7739710672651356,5.437886706785053,0.4898806803378326,48.988068033783264
dense_era5t_persistence,per_lead,4,land,tp,0.1589088431386289,0.20935343790009908,0.24095422204407135,24.095422204407136
dense_era5t_persistence,per_lead,4,sea,msl,0.8505068797643538,0.8182195513939264,-0.0394604703779351,-3.9460470377935097
dense_era5t_persistence,per_lead,4,sea,u10,1.572237568854593,1.997955056173422,0.21307660850699173,21.307660850699172
dense_era5t_persistence,per_lead,4,sea,v10,1.6270369546631975,1.7851059162639216,0.08854878590708459,8.85487859070846
dense_era5t_persistence,per_lead,4,sea,t2m,1.024629624109561,0.9606691249622642,-0.06657911395852256,-6.657911395852256
dense_era5t_persistence,per_lead,4,sea,tp,0.027842244178047735,0.02988974625400042,0.06850182194767374,6.850182194767374
dense_era5t_persistence,per_lead,5,full,msl,1.0997785457884177,1.0521243869585715,-0.04529327465510291,-4.529327465510291
dense_era5t_persistence,per_lead,5,full,u10,1.3826042136535095,1.7776487590659598,0.22222868460247502,22.222868460247504
dense_era5t_persistence,per_lead,5,full,v10,1.4004179681283873,1.5965892904618333,0.1228689954926987,12.286899549269869
dense_era5t_persistence,per_lead,5,full,t2m,2.237966699585901,4.971725559940444,0.5498611754401204,54.98611754401204
dense_era5t_persistence,per_lead,5,full,tp,0.1222715871513966,0.15992932544776114,0.23546487294267338,23.546487294267337
dense_era5t_persistence,per_lead,5,land,msl,1.246984226962118,1.1427477572020301,-0.09121564151244232,-9.121564151244232
dense_era5t_persistence,per_lead,5,land,u10,1.1915269647571498,1.3984643910852543,0.14797475548699124,14.797475548699124
dense_era5t_persistence,per_lead,5,land,v10,1.1593844662657464,1.2713542453740454,0.0880712669310797,8.80712669310797
dense_era5t_persistence,per_lead,5,land,t2m,2.824980550980243,6.512011475069818,0.5661892547647953,56.61892547647953
