method,lead_hour,region,variable,mae,rmse,sample_windows
input_compatible_reconstruction_persistence,2,full,t2m,15.776824085191855,16.634447602360826,152
input_compatible_reconstruction_persistence,2,full,tp,0.17611668989874085,0.2220025843047776,152
input_compatible_reconstruction_persistence,2,land,msl,2.5346289346544624,2.979282083566148,152
input_compatible_reconstruction_persistence,2,land,u10,1.5842936316435206,1.9919444259009538,152
input_compatible_reconstruction_persistence,2,land,v10,1.0775671761707943,1.3952765825412061,152
input_compatible_reconstruction_persistence,2,land,t2m,18.147260790779733,19.02764928065281,152
input_compatible_reconstruction_persistence,2,land,tp,0.15123116562174582,0.2132582456080657,152
input_compatible_reconstruction_persistence,2,sea,msl,2.499424817573511,2.956088991018558,152
input_compatible_reconstruction_persistence,2,sea,u10,1.902463805036002,2.3739112758595513,152
input_compatible_reconstruction_persistence,2,sea,v10,1.7105161601129437,2.1397129234970325,152
input_compatible_reconstruction_persistence,2,sea,t2m,12.635995450287915,12.791427408131604,152
input_compatible_reconstruction_persistence,2,sea,tp,0.20909000956575927,0.2330840785952033,152
input_compatible_reconstruction_persistence,3,full,msl,2.504791382624116,2.9524443766158743,152
input_compatible_reconstruction_persistence,3,full,u10,1.7176641087830828,2.1598551709675133,152
input_compatible_reconstruction_persistence,3,full,v10,1.351509661383399,1.7562371359854105,152
input_compatible_reconstruction_persistence,3,full,t2m,15.740189249125958,16.597908623053176,152
input_compatible_reconstruction_persistence,3,full,tp,0.17606839428587717,0.2216741962888654,152
input_compatible_reconstruction_persistence,3,land,msl,2.5165286386573724,2.9586660881847338,152
input_compatible_reconstruction_persistence,3,land,u10,1.5766103147779447,1.9808406833729202,152
input_compatible_reconstruction_persistence,3,land,v10,1.0788364935573165,1.3961318950992672,152
input_compatible_reconstruction_persistence,3,land,t2m,18.083435173966432,18.971719284154155,152
input_compatible_reconstruction_persistence,3,land,tp,0.1511841123079777,0.2128137873882275,152
input_compatible_reconstruction_persistence,3,sea,msl,2.489239518380051,2.9441803570312834,152
input_compatible_reconstruction_persistence,3,sea,u10,1.9045603858398912,2.376367687010178,152
input_compatible_reconstruction_persistence,3,sea,v10,1.7128016087529583,2.142075742157068,152
input_compatible_reconstruction_persistence,3,sea,t2m,12.635388398712331,12.791147371991471,152
input_compatible_reconstruction_persistence,3,sea,tp,0.20904006790659393,0.23289559117207392,152
input_compatible_reconstruction_persistence,4,full,msl,2.49097671897383,2.936394799487272,152
input_compatible_reconstruction_persistence,4,full,u10,1.7143185768411477,2.154435198323411,152
input_compatible_reconstruction_persistence,4,full,v10,1.3526863859463387,1.75783302337559,152
input_compatible_reconstruction_persistence,4,full,t2m,15.699349799804214,16.559697448857754,152
input_compatible_reconstruction_persistence,4,full,tp,0.17603278255941854,0.22117141408789975,152
input_compatible_reconstruction_persistence,4,land,msl,2.5008244278134555,2.9405420865349137,152
input_compatible_reconstruction_persistence,4,land,u10,1.567825405810407,1.9676145780013576,152
input_compatible_reconstruction_persistence,4,land,v10,1.07967611341065,1.3970882570005063,152
input_compatible_reconstruction_persistence,4,land,t2m,18.0131972152543,18.913486533474142,152
