baseline,scope,lead_hour,region,variable,v9_2_rmse,baseline_rmse,rmse_skill,rmse_skill_percent
input_compatible_reconstruction_persistence,per_lead,4,sea,tp,0.027842244178047735,0.23288929780782816,0.8804485889213245,88.04485889213245
input_compatible_reconstruction_persistence,per_lead,5,full,msl,1.0997785457884177,2.9217745722977706,0.6235922660783788,62.35922660783788
input_compatible_reconstruction_persistence,per_lead,5,full,u10,1.3826042136535095,2.149887499656466,0.3568946217537252,35.68946217537252
input_compatible_reconstruction_persistence,per_lead,5,full,v10,1.4004179681283873,1.7628197110751764,0.20558071858962457,20.558071858962457
input_compatible_reconstruction_persistence,per_lead,5,full,t2m,2.237966699585901,16.522681441972352,0.8645518460520081,86.45518460520081
input_compatible_reconstruction_persistence,per_lead,5,full,tp,0.1222715871513966,0.220964814585998,0.44664680039450655,44.66468003945066
input_compatible_reconstruction_persistence,per_lead,5,land,msl,1.246984226962118,2.925991416731377,0.5738250564128027,57.38250564128027
input_compatible_reconstruction_persistence,per_lead,5,land,u10,1.1915269647571498,1.9537848427736895,0.3901442274137007,39.01442274137007
input_compatible_reconstruction_persistence,per_lead,5,land,v10,1.1593844662657464,1.4009560347344967,0.17243336869920545,17.243336869920544
input_compatible_reconstruction_persistence,per_lead,5,land,t2m,2.824980550980243,18.857043566955664,0.8501896365170081,85.0189636517008
input_compatible_reconstruction_persistence,per_lead,5,land,tp,0.16020650376700524,0.21152650181260338,0.24261734395373213,24.261734395373214
input_compatible_reconstruction_persistence,per_lead,5,sea,msl,0.8670539620998337,2.91617786118088,0.7026745269409844,70.26745269409844
input_compatible_reconstruction_persistence,per_lead,5,sea,u10,1.6010328335917832,2.3850153357027506,0.3287117237256527,32.87117237256527
input_compatible_reconstruction_persistence,per_lead,5,sea,v10,1.6669412189300181,2.1504573702035072,0.22484340213995124,22.484340213995125
input_compatible_reconstruction_persistence,per_lead,5,sea,t2m,1.0346826711034558,12.78938848078563,0.9190983468319904,91.90983468319904
input_compatible_reconstruction_persistence,per_lead,5,sea,tp,0.027421319839857815,0.2328821242681681,0.8822523629667615,88.22523629667614
input_compatible_reconstruction_persistence,per_lead,6,full,msl,1.1313365530545667,2.906439897900264,0.6107483406514298,61.07483406514298
input_compatible_reconstruction_persistence,per_lead,6,full,u10,1.4179398431446473,2.1470369228349337,0.3395829256292394,33.958292562923944
input_compatible_reconstruction_persistence,per_lead,6,full,v10,1.4406119113968614,1.7690328416696302,0.1856499905127832,18.56499905127832
