station_id,station_name,latitude,longitude,station_type,network,coordinate_source,pretraining_value_source,operational_value_source,enabled,profile_land_only,profile_sea_only,profile_dpc_plus_sea,dist_to_coast_km,notes
LEGACY::MAR_latest::MAR_Senigallia,Marche Virtual - Senigallia,43.71,13.21,legacy_virtual_coastal,ARPAM_VIRTUAL,MAR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::MAR_latest::MAR_Fano,Marche Virtual - Fano,43.84,13.01,legacy_virtual_coastal,ARPAM_VIRTUAL,MAR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::MAR_latest::MAR_Pesaro,Marche Virtual - Pesaro,43.91,12.91,legacy_virtual_coastal,ARPAM_VIRTUAL,MAR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LAND::METEOHUB::117,Umito,42.73742,13.40658,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,49.69389632029133,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::19,Capodacqua,42.73848,13.23818,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,61.27504102360762,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::88,Piscina Acquasanta Terme,42.76832,13.40897,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,47.583838935155484,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::8,Arquata del Tronto,42.77782,13.29545,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,55.10117614892898,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::75,Mozzano,42.84965,13.53753,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,33.91928756634165,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::116,Tronto,42.85223,13.65146,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,26.067066847761033,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::70,Monte Prata,42.8736,13.205,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,58.296916833801745,Physical station in the current federated DPC/regional catalog.
