station_id,station_name,lat,lon,network,coordinate_source,catalog_status,observed_snapshots,variables,license,notes
MH::dpcn-calabria::dd86cdaf4640,Cariati,39.50444,16.94028,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::6f22e5d99c58,Cropalati - Trionto,39.51028,16.73833,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::602de09bbbdf,Cropalati,39.51389,16.73056,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::21e960f00f5f,Cetraro Superiore,39.5175,15.94056,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::a9c9375d8e52,Fitterizzi Meteo,39.52401,16.16225,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B10004|B11001|B11002|B11041|B12101|B13003|B13011|B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::500e8e10e613,Corigliano Calabro,39.58694,16.52111,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::c24d5650d6b7,S.Sofia d'Epiro,39.59148,16.26259,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::81b1c5d939aa,Tarsia,39.6225,16.27806,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::3ceee093518f,Belvedere Marittimo,39.62972,15.85167,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B11001|B11002|B11041|B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::217c1a25074a,S.Sosti,39.66111,16.02778,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B10004|B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::c62846522ac3,Sibari,39.71063,16.49662,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13011|B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::e77e9b8928ac,Castrovillari - Camerata,39.73316,16.27101,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011|B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::e4060d5c9a6d,Lungro,39.745,16.1175,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::2244f1c54de2,Villapiana SS 106,39.77389,16.45667,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::74502866006f,Castrovillari,39.78611,16.25556,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::31746e5cb824,Cassano Jonico,39.78972,16.31389,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::3d5fb82f286d,Villapiana,39.79694,16.48139,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-puglia::e27c3fe71caa,S.M. di Leuca,39.808,18.3475,dpcn-puglia,MeteoHub /api/observations,observed_in_snapshot,3,B11001|B11002|B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::907e10cbad70,Campo Tenese,39.855,16.08778,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::c21b086a144d,Cerchiara di Calabria,39.86556,16.38139,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::b967965372b7,Papasidero,39.87111,15.90583,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::d11a6a9ca01f,Mormanno,39.885,15.99222,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B10004|B11001|B11002|B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-puglia::70e59dd24c86,Presicce,39.88983,18.31533,dpcn-puglia,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::4a2ee8ea480c,Albidona,39.92611,16.46639,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::4858127d37c5,Tortora,39.9375,15.76861,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13011|B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-basilicata::82c30e625b7f,Rotonda,39.94,16.05056,dpcn-basilicata,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::d5d40b18f404,Laino Borgo,39.95361,15.97306,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B13011|B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-puglia::3ce6daab5c2e,Ruffano,39.97617,18.26867,dpcn-puglia,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-basilicata::3267fab5f501,Maratea,39.97978,15.717,dpcn-basilicata,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-basilicata::72a9c405bfa1,Terranova di Pollino,39.98389,16.29833,dpcn-basilicata,MeteoHub /api/observations,observed_in_snapshot,3,B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::2de9bf35996f,Roseto Capo Spulico,39.99111,16.60667,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B11001|B11002|B11041|B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-basilicata::679f47d769e2,Castrocucco,40.00111,15.79667,dpcn-basilicata,MeteoHub /api/observations,observed_in_snapshot,3,B13011|B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-puglia::a2193a05aa6e,Vignacastrisi,40.00717,18.40017,dpcn-puglia,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-campania::65919a3d59b1,Chiusura Mingardo,40.03556,15.31639,dpcn-campania,MeteoHub /api/observations,observed_in_snapshot,3,B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-campania::58e2ab8ad9d2,Chiusura Lambro,40.04611,15.29111,dpcn-campania,MeteoHub /api/observations,observed_in_snapshot,3,B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-calabria::cc29fd3b5251,Oriolo,40.05,16.44694,dpcn-calabria,MeteoHub /api/observations,observed_in_snapshot,3,B10004|B11001|B11002|B11041|B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-puglia::0a0ca02fe8af,Collepasso,40.069,18.178,dpcn-puglia,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-basilicata::897929766ebf,Episcopia-Pizzutello,40.07,16.10361,dpcn-basilicata,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011|B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-campania::646d20aa3651,Chiusura Bussento,40.07111,15.5075,dpcn-campania,MeteoHub /api/observations,observed_in_snapshot,3,B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-campania::f151a6385ca5,Sapri Timpone,40.07442,15.65231,dpcn-campania,MeteoHub /api/observations,observed_in_snapshot,3,B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-puglia::b84fea79f80e,Alessano,40.08433,18.38355,dpcn-puglia,MeteoHub /api/observations,observed_in_snapshot,3,B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-puglia::f1f138e4c609,Minervino di Lecce,40.08867,18.41883,dpcn-puglia,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-basilicata::0d6c674262a2,Noepoli,40.08944,16.33056,dpcn-basilicata,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-puglia::74455947cc9c,Maglie,40.111,18.289,dpcn-puglia,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-campania::d26b5d46471c,Roccagloriosa,40.115,15.44261,dpcn-campania,MeteoHub /api/observations,observed_in_snapshot,3,B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-campania::31520294a980,Torraca,40.11583,15.62778,dpcn-campania,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-puglia::003a76def546,Otranto,40.11983,18.47617,dpcn-puglia,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-campania::8766cd74c7e2,S.Mauro la Bruca,40.12806,15.28861,dpcn-campania,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-campania::a23c1a28225f,Torre Orsaia METEO,40.13194,15.45861,dpcn-campania,MeteoHub /api/observations,observed_in_snapshot,3,B10004|B11001|B11002|B11041|B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-campania::ef005a090771,Morigerati Bussento,40.13389,15.54389,dpcn-campania,MeteoHub /api/observations,observed_in_snapshot,3,B13011|B13215,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-basilicata::dc0bc7be3b05,Lagonegro,40.13444,15.76222,dpcn-basilicata,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-puglia::c24d4f73be84,Galatina,40.142,18.178,dpcn-puglia,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-campania::dcc1fd417ca5,Morigerati,40.14389,15.56194,dpcn-campania,MeteoHub /api/observations,observed_in_snapshot,3,B12101|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-puglia::13142d719745,Corigliano d'Otranto,40.1575,18.30367,dpcn-puglia,MeteoHub /api/observations,observed_in_snapshot,3,B11001|B11002|B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
MH::dpcn-basilicata::0e3b48c799b2,Castelsaraceno,40.16111,15.98611,dpcn-basilicata,MeteoHub /api/observations,observed_in_snapshot,3,B11001|B11002|B11041|B12101|B13003|B13011,CC BY 4.0 (dataset attribution applies),Official DPC/regional station observed in at least one selected MeteoHub time window; an offline station may be absent.
